Name                                                                                                  Stmts   Miss  Cover
myvenv\Lib\site-packages\django\urls\converters.py                                                       36      8    78%
myvenv\Lib\site-packages\django\urls\exceptions.py                                                        5      0   100%
myvenv\Lib\site-packages\django\urls\resolvers.py                                                       389    168    57%
myvenv\Lib\site-packages\django\urls\utils.py                                                            32     26    19%
myvenv\Lib\site-packages\django\utils\__init__.py                                                         0      0   100%
myvenv\Lib\site-packages\django\utils\_os.py                                                             29     13    55%
myvenv\Lib\site-packages\django\utils\autoreload.py                                                     190    148    22%
myvenv\Lib\site-packages\django\utils\baseconv.py                                                        48     25    48%
myvenv\Lib\site-packages\django\utils\cache.py                                                          191    156    18%
myvenv\Lib\site-packages\django\utils\crypto.py                                                          34     21    38%
myvenv\Lib\site-packages\django\utils\datastructures.py                                                 154     65    58%
myvenv\Lib\site-packages\django\utils\dateformat.py                                                     194    137    29%
myvenv\Lib\site-packages\django\utils\dateparse.py                                                       54     41    24%
myvenv\Lib\site-packages\django\utils\dates.py                                                            9      0   100%
myvenv\Lib\site-packages\django\utils\datetime_safe.py                                                   58     42    28%
myvenv\Lib\site-packages\django\utils\deconstruct.py                                                     23      9    61%
myvenv\Lib\site-packages\django\utils\decorators.py                                                      89     47    47%
myvenv\Lib\site-packages\django\utils\deprecation.py                                                     55     27    51%
myvenv\Lib\site-packages\django\utils\duration.py                                                        26     22    15%
myvenv\Lib\site-packages\django\utils\encoding.py                                                       103     48    53%
myvenv\Lib\site-packages\django\utils\formats.py                                                        131    106    19%
myvenv\Lib\site-packages\django\utils\functional.py                                                     188     62    67%
myvenv\Lib\site-packages\django\utils\html.py                                                           177    128    28%
myvenv\Lib\site-packages\django\utils\html_parser.py                                                      9      1    89%
myvenv\Lib\site-packages\django\utils\http.py                                                           200    128    36%
myvenv\Lib\site-packages\django\utils\inspect.py                                                         28     20    29%
myvenv\Lib\site-packages\django\utils\ipv6.py                                                            19     14    26%
myvenv\Lib\site-packages\django\utils\itercompat.py                                                       6      2    67%
myvenv\Lib\site-packages\django\utils\log.py                                                             85     48    44%
myvenv\Lib\site-packages\django\utils\lorem_ipsum.py                                                     28     20    29%
myvenv\Lib\site-packages\django\utils\lru_cache.py                                                        1      0   100%
myvenv\Lib\site-packages\django\utils\module_loading.py                                                  47     16    66%
myvenv\Lib\site-packages\django\utils\numberformat.py                                                    43     39     9%
myvenv\Lib\site-packages\django\utils\regex_helper.py                                                   190    178     6%
myvenv\Lib\site-packages\django\utils\safestring.py                                                      33     18    45%
myvenv\Lib\site-packages\django\utils\six.py                                                            450    229    49%
myvenv\Lib\site-packages\django\utils\synch.py                                                           56     39    30%
myvenv\Lib\site-packages\django\utils\termcolors.py                                                      56     35    38%
myvenv\Lib\site-packages\django\utils\text.py                                                           208    154    26%
myvenv\Lib\site-packages\django\utils\timesince.py                                                       39     31    21%
myvenv\Lib\site-packages\django\utils\timezone.py                                                        98     55    44%
myvenv\Lib\site-packages\django\utils\translation\__init__.py                                           127     54    57%
myvenv\Lib\site-packages\django\utils\translation\trans_real.py                                         265    138    48%
myvenv\Lib\site-packages\django\utils\tree.py                                                            54     21    61%
myvenv\Lib\site-packages\django\utils\version.py                                                         49     18    63%
myvenv\Lib\site-packages\django\utils\xmlutils.py                                                        20     11    45%
myvenv\Lib\site-packages\django\views\__init__.py                                                         2      0   100%
myvenv\Lib\site-packages\django\views\debug.py                                                          285    240    16%
myvenv\Lib\site-packages\django\views\decorators\__init__.py                                              0      0   100%
myvenv\Lib\site-packages\django\views\decorators\cache.py                                                20     11    45%
myvenv\Lib\site-packages\django\views\decorators\csrf.py                                                 27      9    67%
myvenv\Lib\site-packages\django\views\decorators\debug.py                                                21     13    38%
myvenv\Lib\site-packages\django\views\generic\__init__.py                                                 8      0   100%
myvenv\Lib\site-packages\django\views\generic\base.py                                                   106     56    47%
myvenv\Lib\site-packages\django\views\generic\dates.py                                                  325    223    31%
myvenv\Lib\site-packages\django\views\generic\detail.py                                                  79     54    32%
myvenv\Lib\site-packages\django\views\generic\edit.py                                                   114     65    43%
myvenv\Lib\site-packages\django\views\generic\list.py                                                    97     66    32%
myvenv\Lib\site-packages\django\views\i18n.py                                                           115     81    30%
myvenv\Lib\site-packages\django\views\static.py                                                          62     47    24%
myvenv\Lib\site-packages\html5lib\__init__.py                                                             7      0   100%
myvenv\Lib\site-packages\html5lib\_inputstream.py                                                       560    477    15%
myvenv\Lib\site-packages\html5lib\_tokenizer.py                                                        1234   1148     7%
myvenv\Lib\site-packages\html5lib\_trie\__init__.py                                                       8      1    88%
myvenv\Lib\site-packages\html5lib\_trie\_base.py                                                         23     16    30%
myvenv\Lib\site-packages\html5lib\_trie\datrie.py                                                        31     29     6%
myvenv\Lib\site-packages\html5lib\_trie\py.py                                                            46     29    37%
myvenv\Lib\site-packages\html5lib\_utils.py                                                              66     44    33%
myvenv\Lib\site-packages\html5lib\constants.py                                                           39      0   100%
myvenv\Lib\site-packages\html5lib\html5parser.py                                                       1552   1514     2%
myvenv\Lib\site-packages\html5lib\serializer.py                                                         205    158    23%
myvenv\Lib\site-packages\html5lib\treebuilders\__init__.py                                               22     18    18%
myvenv\Lib\site-packages\html5lib\treebuilders\base.py                                                  202    156    23%
myvenv\Lib\site-packages\html5lib\treewalkers\__init__.py                                                78     70    10%
myvenv\Lib\site-packages\idna\__init__.py                                                                 2      0   100%
myvenv\Lib\site-packages\idna\core.py                                                                   275    237    14%
myvenv\Lib\site-packages\idna\idnadata.py                                                                 4      0   100%
myvenv\Lib\site-packages\idna\intranges.py                                                               29     24    17%
myvenv\Lib\site-packages\idna\package_data.py                                                             1      0   100%
myvenv\Lib\site-packages\lxml\__init__.py                                                                10      9    10%
myvenv\Lib\site-packages\lxml\_elementpath.py                                                           190    174     8%
myvenv\Lib\site-packages\psycopg2\__init__.py                                                            25      6    76%
myvenv\Lib\site-packages\psycopg2\_ipaddress.py                                                          27     19    30%
myvenv\Lib\site-packages\psycopg2\_json.py                                                               82     44    46%
myvenv\Lib\site-packages\psycopg2\_range.py                                                             247    159    36%
myvenv\Lib\site-packages\psycopg2\errorcodes.py                                                         295      9    97%
myvenv\Lib\site-packages\psycopg2\extensions.py                                                          94     26    72%
myvenv\Lib\site-packages\psycopg2\extras.py                                                             640    482    25%
myvenv\Lib\site-packages\psycopg2\tz.py                                                                  61     37    39%
myvenv\Lib\site-packages\pytz\__init__.py                                                               191    117    39%
myvenv\Lib\site-packages\pytz\exceptions.py                                                               6      0   100%
myvenv\Lib\site-packages\pytz\lazy.py                                                                    97     54    44%
myvenv\Lib\site-packages\pytz\tzfile.py                                                                  77     66    14%
myvenv\Lib\site-packages\pytz\tzinfo.py                                                                 178    126    29%
myvenv\Lib\site-packages\requests\__init__.py                                                            50      7    86%
myvenv\Lib\site-packages\requests\__version__.py                                                         10      0   100%
myvenv\Lib\site-packages\requests\_internal_utils.py                                                     16      3    81%
myvenv\Lib\site-packages\requests\adapters.py                                                           214     95    56%
myvenv\Lib\site-packages\requests\api.py                                                                 22      8    64%
myvenv\Lib\site-packages\requests\auth.py                                                               162    129    20%
myvenv\Lib\site-packages\requests\certs.py                                                                4      1    75%
myvenv\Lib\site-packages\requests\compat.py                                                              37     13    65%
myvenv\Lib\site-packages\requests\cookies.py                                                            236    130    45%
myvenv\Lib\site-packages\requests\exceptions.py                                                          34      6    82%
myvenv\Lib\site-packages\requests\hooks.py                                                               15      6    60%
myvenv\Lib\site-packages\requests\models.py                                                             443    211    52%
myvenv\Lib\site-packages\requests\packages.py                                                             6      0   100%
myvenv\Lib\site-packages\requests\sessions.py                                                           270     48    82%
myvenv\Lib\site-packages\requests\status_codes.py                                                         8      0   100%
myvenv\Lib\site-packages\requests\structures.py                                                          40      9    78%
myvenv\Lib\site-packages\requests\utils.py                                                              400    242    40%
myvenv\Lib\site-packages\six.py                                                                         444    212    52%
myvenv\Lib\site-packages\urllib3\__init__.py                                                             38     12    68%
myvenv\Lib\site-packages\urllib3\_collections.py                                                        177     89    50%
myvenv\Lib\site-packages\urllib3\connection.py                                                          160     60    62%
myvenv\Lib\site-packages\urllib3\connectionpool.py                                                      317    125    61%
myvenv\Lib\site-packages\urllib3\contrib\__init__.py                                                      0      0   100%
myvenv\Lib\site-packages\urllib3\contrib\pyopenssl.py                                                   230    228     1%
myvenv\Lib\site-packages\urllib3\contrib\socks.py                                                        71     62    13%
myvenv\Lib\site-packages\urllib3\exceptions.py                                                           96     21    78%
myvenv\Lib\site-packages\urllib3\fields.py                                                               69     56    19%
myvenv\Lib\site-packages\urllib3\filepost.py                                                             39     27    31%
myvenv\Lib\site-packages\urllib3\packages\__init__.py                                                     3      0   100%
myvenv\Lib\site-packages\urllib3\packages\six.py                                                        444    206    54%
myvenv\Lib\site-packages\urllib3\packages\ssl_match_hostname\__init__.py                                 11      6    45%
myvenv\Lib\site-packages\urllib3\poolmanager.py                                                         164     72    56%
myvenv\Lib\site-packages\urllib3\request.py                                                              38     26    32%
myvenv\Lib\site-packages\urllib3\response.py                                                            308    156    49%
myvenv\Lib\site-packages\urllib3\util\__init__.py                                                        10      0   100%
myvenv\Lib\site-packages\urllib3\util\connection.py                                                      66     24    64%
myvenv\Lib\site-packages\urllib3\util\request.py                                                         45     33    27%
myvenv\Lib\site-packages\urllib3\util\response.py                                                        32     17    47%
myvenv\Lib\site-packages\urllib3\util\retry.py                                                          148     97    34%
myvenv\Lib\site-packages\urllib3\util\selectors.py                                                      363    310    15%
myvenv\Lib\site-packages\urllib3\util\ssl_.py                                                           126     69    45%
myvenv\Lib\site-packages\urllib3\util\timeout.py                                                         59     25    58%
myvenv\Lib\site-packages\urllib3\util\url.py                                                            103     47    54%
myvenv\Lib\site-packages\urllib3\util\wait.py                                                            16     12    25%
myvenv\Lib\site-packages\webencodings\__init__.py                                                       119     77    35%
myvenv\Lib\site-packages\webencodings\labels.py                                                           1      0   100%
urls.py                                                                                                   3      0   100%
-------------------------------------------------------------------------------------------------------------------------
TOTAL                                                                                                 59185  35893    39%
