Name                                                                                                  Stmts   Miss  Cover
myvenv\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py                                212    180    15%
myvenv\Lib\site-packages\django\contrib\admin\templatetags\admin_modify.py                               36     29    19%
myvenv\Lib\site-packages\django\contrib\admin\templatetags\admin_static.py                                5      1    80%
myvenv\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py                                 38     28    26%
myvenv\Lib\site-packages\django\contrib\admin\templatetags\log.py                                        29     21    28%
myvenv\Lib\site-packages\django\contrib\admin\utils.py                                                  310    252    19%
myvenv\Lib\site-packages\django\contrib\admin\views\__init__.py                                           0      0   100%
myvenv\Lib\site-packages\django\contrib\admin\views\autocomplete.py                                      25     16    36%
myvenv\Lib\site-packages\django\contrib\admin\views\main.py                                             249    216    13%
myvenv\Lib\site-packages\django\contrib\admin\widgets.py                                                270    187    31%
myvenv\Lib\site-packages\django\contrib\auth\__init__.py                                                135    102    24%
myvenv\Lib\site-packages\django\contrib\auth\admin.py                                                   104     53    49%
myvenv\Lib\site-packages\django\contrib\auth\apps.py                                                     18      0   100%
myvenv\Lib\site-packages\django\contrib\auth\backends.py                                                 88     64    27%
myvenv\Lib\site-packages\django\contrib\auth\base_user.py                                                67     33    51%
myvenv\Lib\site-packages\django\contrib\auth\checks.py                                                   53     23    57%
myvenv\Lib\site-packages\django\contrib\auth\context_processors.py                                       29     13    55%
myvenv\Lib\site-packages\django\contrib\auth\forms.py                                                   200    119    40%
myvenv\Lib\site-packages\django\contrib\auth\hashers.py                                                 313    205    35%
myvenv\Lib\site-packages\django\contrib\auth\management\__init__.py                                      66     28    58%
myvenv\Lib\site-packages\django\contrib\auth\middleware.py                                               52     32    38%
myvenv\Lib\site-packages\django\contrib\auth\migrations\0001_initial.py                                   7      0   100%
myvenv\Lib\site-packages\django\contrib\auth\migrations\0002_alter_permission_name_max_length.py          4      0   100%
myvenv\Lib\site-packages\django\contrib\auth\migrations\0003_alter_user_email_max_length.py               4      0   100%
myvenv\Lib\site-packages\django\contrib\auth\migrations\0004_alter_user_username_opts.py                  5      0   100%
myvenv\Lib\site-packages\django\contrib\auth\migrations\0005_alter_user_last_login_null.py                4      0   100%
myvenv\Lib\site-packages\django\contrib\auth\migrations\0006_require_contenttypes_0002.py                 4      0   100%
myvenv\Lib\site-packages\django\contrib\auth\migrations\0007_alter_validators_add_error_messages.py       5      0   100%
myvenv\Lib\site-packages\django\contrib\auth\migrations\0008_alter_user_username_max_length.py            5      0   100%
myvenv\Lib\site-packages\django\contrib\auth\migrations\0009_alter_user_last_name_max_length.py           4      0   100%
myvenv\Lib\site-packages\django\contrib\auth\migrations\__init__.py                                       0      0   100%
myvenv\Lib\site-packages\django\contrib\auth\models.py                                                  196     88    55%
myvenv\Lib\site-packages\django\contrib\auth\password_validation.py                                     103     68    34%
myvenv\Lib\site-packages\django\contrib\auth\signals.py                                                   4      0   100%
myvenv\Lib\site-packages\django\contrib\auth\tokens.py                                                   37     23    38%
myvenv\Lib\site-packages\django\contrib\auth\validators.py                                               14      0   100%
myvenv\Lib\site-packages\django\contrib\contenttypes\__init__.py                                          1      0   100%
myvenv\Lib\site-packages\django\contrib\contenttypes\admin.py                                            54     32    41%
myvenv\Lib\site-packages\django\contrib\contenttypes\apps.py                                             14      0   100%
myvenv\Lib\site-packages\django\contrib\contenttypes\checks.py                                           22      4    82%
myvenv\Lib\site-packages\django\contrib\contenttypes\fields.py                                          344    280    19%
myvenv\Lib\site-packages\django\contrib\contenttypes\forms.py                                            37     28    24%
myvenv\Lib\site-packages\django\contrib\contenttypes\management\__init__.py                              78     35    55%
myvenv\Lib\site-packages\django\contrib\contenttypes\migrations\0001_initial.py                           5      0   100%
myvenv\Lib\site-packages\django\contrib\contenttypes\migrations\0002_remove_content_type_name.py         12      7    42%
myvenv\Lib\site-packages\django\contrib\contenttypes\migrations\__init__.py                               0      0   100%
myvenv\Lib\site-packages\django\contrib\contenttypes\models.py                                          103     51    50%
myvenv\Lib\site-packages\django\contrib\contenttypes\views.py                                            54     47    13%
myvenv\Lib\site-packages\django\contrib\messages\__init__.py                                              3      0   100%
myvenv\Lib\site-packages\django\contrib\messages\api.py                                                  34     19    44%
myvenv\Lib\site-packages\django\contrib\messages\apps.py                                                  5      0   100%
myvenv\Lib\site-packages\django\contrib\messages\constants.py                                             7      0   100%
myvenv\Lib\site-packages\django\contrib\messages\context_processors.py                                    4      0   100%
myvenv\Lib\site-packages\django\contrib\messages\middleware.py                                           12      1    92%
myvenv\Lib\site-packages\django\contrib\messages\storage\__init__.py                                      4      0   100%
myvenv\Lib\site-packages\django\contrib\messages\storage\base.py                                         73     40    45%
myvenv\Lib\site-packages\django\contrib\messages\storage\cookie.py                                       82     60    27%
myvenv\Lib\site-packages\django\contrib\messages\storage\fallback.py                                     29     18    38%
myvenv\Lib\site-packages\django\contrib\messages\storage\session.py                                      23     10    57%
myvenv\Lib\site-packages\django\contrib\messages\utils.py                                                 6      0   100%
myvenv\Lib\site-packages\django\contrib\sessions\__init__.py                                              1      0   100%
myvenv\Lib\site-packages\django\contrib\sessions\apps.py                                                  5      0   100%
myvenv\Lib\site-packages\django\contrib\sessions\backends\__init__.py                                     0      0   100%
myvenv\Lib\site-packages\django\contrib\sessions\backends\base.py                                       189    115    39%
myvenv\Lib\site-packages\django\contrib\sessions\backends\db.py                                          65     47    28%
myvenv\Lib\site-packages\django\contrib\sessions\base_session.py                                         28     11    61%
myvenv\Lib\site-packages\django\contrib\sessions\exceptions.py                                            5      0   100%
myvenv\Lib\site-packages\django\contrib\sessions\management\__init__.py                                   0      0   100%
myvenv\Lib\site-packages\django\contrib\sessions\middleware.py                                           41     16    61%
myvenv\Lib\site-packages\django\contrib\sessions\migrations\0001_initial.py                               5      0   100%
myvenv\Lib\site-packages\django\contrib\sessions\migrations\__init__.py                                   0      0   100%
myvenv\Lib\site-packages\django\contrib\sessions\models.py                                               10      2    80%
myvenv\Lib\site-packages\django\contrib\sessions\serializers.py                                           8      2    75%
myvenv\Lib\site-packages\django\contrib\sites\__init__.py                                                 1      0   100%
myvenv\Lib\site-packages\django\contrib\sites\requests.py                                                 9      4    56%
myvenv\Lib\site-packages\django\contrib\sites\shortcuts.py                                                7      5    29%
myvenv\Lib\site-packages\django\contrib\staticfiles\__init__.py                                           1      0   100%
myvenv\Lib\site-packages\django\contrib\staticfiles\apps.py                                              10      0   100%
myvenv\Lib\site-packages\django\contrib\staticfiles\checks.py                                            10      0   100%
myvenv\Lib\site-packages\django\contrib\staticfiles\finders.py                                          165     98    41%
myvenv\Lib\site-packages\django\contrib\staticfiles\management\__init__.py                                0      0   100%
myvenv\Lib\site-packages\django\contrib\staticfiles\storage.py                                          300    231    23%
myvenv\Lib\site-packages\django\contrib\staticfiles\templatetags\__init__.py                              0      0   100%
myvenv\Lib\site-packages\django\contrib\staticfiles\templatetags\staticfiles.py                           7      1    86%
myvenv\Lib\site-packages\django\contrib\staticfiles\utils.py                                             36     25    31%
myvenv\Lib\site-packages\django\core\__init__.py                                                          0      0   100%
myvenv\Lib\site-packages\django\core\cache\__init__.py                                                   60     17    72%
myvenv\Lib\site-packages\django\core\cache\backends\__init__.py                                           0      0   100%
myvenv\Lib\site-packages\django\core\cache\backends\base.py                                             118     67    43%
